vertices,time
5,3768832
5,18997
5,13829
5,10197
5,9638
5,9987
5,11873
5,5657
5,9429
5,8730
5,4679
5,11525
5,9429
5,8381
5,7683
5,4819
5,9079
5,11594
5,4819
5,7263
5,6635
5,4819
5,6146
5,9010
5,12083
5,7473
5,9150
5,4749
5,9149
5,10826
5,4260
5,4749
5,9010
5,4330
5,10896
5,11524
5,5727
5,3842
5,4749
5,7962
5,6775
5,9359
5,10616
5,7962
5,4819
5,4680
5,7752
5,9499
5,6705
5,9708
5,9988
5,6704
5,5727
5,9428
5,14039
5,9429
5,8172
5,8591
5,5169
5,4750
5,4680
5,6705
5,8102
5,10546
5,4680
5,11873
5,4330
5,11315
5,9639
5,9429
5,4330
5,9010
5,6775
5,8521
5,13760
5,4820
5,8521
5,4400
5,4331
5,4400
5,8032
5,8241
5,8660
5,4749
5,12922
5,5098
5,10616
5,11874
5,4750
5,6216
5,10895
5,11105
5,11454
5,8032
5,4330
5,7962
5,4400
5,8940
5,12083
5,9429
10,22419
10,51126
10,42535
10,52871
10,45608
10,26121
10,15854
10,23816
10,25703
10,25144
10,48262
10,19557
10,25773
10,54408
10,31220
10,23397
10,24795
10,53500
10,45328
10,28636
10,50008
10,43094
10,62859
10,42675
10,41906
10,10966
10,55875
10,40719
10,15296
10,35340
10,53012
10,30801
10,20883
10,25353
10,39043
10,18089
10,27099
10,43862
10,29614
10,35760
10,15157
10,58460
10,50148
10,36319
10,23327
10,53640
10,28566
10,25633
10,22489
10,23886
10,48890
10,49938
10,29963
10,32478
10,35410
10,46725
10,68796
10,33386
10,31010
10,11105
10,39461
10,50078
10,19905
10,35760
10,28846
10,56364
10,28566
10,34293
10,29195
10,27938
10,27169
10,38135
10,45747
10,27589
10,11315
10,46725
10,11036
10,28147
10,12782
10,31011
10,41278
10,35830
10,45468
10,34363
10,47912
10,30521
10,48192
10,56225
10,60275
10,24306
10,14807
10,32477
10,61882
10,58180
10,55735
10,81927
10,43932
10,44351
10,38554
10,50916
15,130119
15,85348
15,110074
15,158684
15,123484
15,85907
15,84022
15,50287
15,131167
15,78015
15,174819
15,122995
15,105953
15,151700
15,59995
15,108257
15,60275
15,94917
15,181454
15,137452
15,115382
15,128861
15,87235
15,120899
15,135706
15,67190
15,85419
15,134798
15,146602
15,97292
15,102670
15,67749
15,125230
15,143389
15,126347
15,121808
15,152678
15,145763
15,67678
15,68098
15,121597
15,79552
15,119991
15,97712
15,80040
15,81577
15,83044
15,139058
15,135077
15,94429
15,111052
15,122505
15,67888
15,64396
15,101902
15,107419
15,44211
15,102460
15,117058
15,96384
15,194655
15,84440
15,141643
15,62370
15,192698
15,130887
15,91425
15,104067
15,113216
15,63418
15,92961
15,107559
15,112378
15,44351
15,156171
15,121597
15,53640
15,41417
15,82067
15,127045
15,124042
15,195423
15,34084
15,115941
15,100994
15,80180
15,61532
15,52173
15,116290
15,91356
15,83044
15,156590
15,105254
15,124042
15,69914
15,109235
15,116149
15,44699
15,48331
15,86816
20,143459
20,277558
20,148139
20,193886
20,299001
20,221824
20,258561
20,237399
20,195841
20,242217
20,334970
20,141642
20,144367
20,266873
20,99108
20,177892
20,429189
20,199963
20,230973
20,305077
20,242148
20,343351
20,185924
20,177403
20,207575
20,301166
20,348450
20,226153
20,220915
20,260237
20,124112
20,333783
20,247945
20,117826
20,176494
20,178102
20,210369
20,270644
20,291946
20,306613
20,265965
20,218052
20,200381
20,299490
20,261355
20,305846
20,199962
20,180615
20,290480
20,203804
20,128583
20,186273
20,213792
20,196959
20,251786
20,274206
20,151351
20,260447
20,193117
20,220845
20,281889
20,331198
20,145624
20,269666
20,216236
20,367936
20,774077
20,216585
20,203385
20,170767
20,152887
20,226643
20,231811
20,309687
20,267850
20,299070
20,89749
20,719529
20,225316
20,253043
20,98689
20,255698
20,248504
20,321420
20,135077
20,227970
20,196052
20,182082
20,256676
20,280282
20,86815
20,260796
20,205690
20,183409
20,208832
20,205480
20,160291
20,108746
20,120341
